CustomerID,Age,Gender,Tenure,Usage Frequency,Support Calls,Payment Delay,Subscription Type,Contract Length,Total Spend,Last Interaction,Churn
400001,31,Male,33,27,3,8,Basic,Quarterly,542.51,17,0
400002,38,Male,33,14,3,1,Basic,Quarterly,543.87,29,0
400003,30,Female,47,19,3,19,Basic,Annual,850.32,14,0
400004,40,Female,26,19,3,19,Premium,Quarterly,948.44,4,0
400005,26,Male,36,21,2,3,Basic,Annual,792.3,1,0
400006,48,Male,45,11,4,15,Premium,Quarterly,889.92,6,0
400007,44,Female,25,27,4,5,Basic,Quarterly,594.83,7,0
400008,26,Female,60,2,2,7,Premium,Quarterly,668.31,12,0
400009,38,Male,57,24,0,5,Premium,Quarterly,576.56,8,0
400010,43,Male,5,14,0,3,Standard,Annual,725.63,12,0
400011,45,Male,11,26,3,4,Premium,Quarterly,691.6,22,0
400012,35,Male,42,3,2,5,Basic,Annual,965.13,26,0
400013,48,Male,14,29,0,6,Standard,Quarterly,895.01,30,0
400014,33,Male,21,21,3,14,Basic,Quarterly,917.65,2,0
400015,46,Male,51,21,1,1,Basic,Quarterly,935.61,17,0
400016,22,Male,26,28,2,9,Basic,Quarterly,518.39,26,0
400017,18,Male,3,19,0,3,Standard,Annual,882.55,23,0
400018,39,Female,51,9,1,12,Basic,Quarterly,717.18,14,0
400019,37,Male,46,25,0,11,Premium,Annual,802.67,4,0
400020,34,Male,54,20,1,16,Basic,Quarterly,693.24,9,0
400021,42,Male,26,22,2,2,Standard,Quarterly,589.46,29,0
400022,41,Male,10,19,2,12,Standard,Annual,566.35,3,0
400023,18,Female,43,29,0,13,Premium,Annual,927.38,2,0
400024,28,Male,35,2,0,12,Standard,Quarterly,635.92,19,0
400025,48,Male,10,14,3,10,Basic,Annual,761.6,25,0
400026,34,Male,41,30,1,16,Premium,Annual,998.65,24,0
400027,35,Female,46,30,3,8,Standard,Quarterly,865.73,11,0
400028,36,Male,50,16,3,0,Premium,Quarterly,923.22,10,0
400029,49,Female,3,11,2,20,Premium,Annual,609.18,15,0
400030,21,Female,13,15,1,1,Standard,Annual,515.92,3,0
400031,48,Male,42,9,2,18,Premium,Quarterly,863.82,28,0
400032,29,Male,18,28,1,6,Premium,Annual,682.74,24,0
400033,46,Female,11,17,4,11,Premium,Quarterly,658.27,2,0
400034,34,Male,3,8,3,15,Premium,Quarterly,879.08,9,0
400035,23,Male,31,1,0,18,Premium,Annual,577.1,6,0
400036,49,Male,57,19,4,11,Standard,Quarterly,945.21,16,0
400037,49,Female,21,12,1,14,Basic,Annual,871.36,11,0
400038,38,Female,25,25,3,4,Basic,Quarterly,524.8,5,0
400039,28,Male,53,2,0,15,Standard,Quarterly,592.36,5,0
400040,22,Male,15,21,0,1,Standard,Annual,810.98,15,0
400041,42,Female,17,15,0,5,Premium,Annual,639.04,14,0
400042,30,Male,9,28,2,17,Standard,Annual,713.73,22,0
400043,38,Male,39,2,3,14,Premium,Quarterly,795.09,4,0
400044,50,Female,47,22,1,15,Premium,Quarterly,585.03,7,0
400045,43,Male,2,15,4,8,Standard,Quarterly,806.64,25,0
400046,48,Female,1,21,3,17,Premium,Annual,799.05,15,0
400047,32,Female,23,25,3,2,Standard,Quarterly,835.42,3,0
400048,35,Male,39,3,0,0,Standard,Quarterly,907.76,16,0
400049,19,Male,38,25,0,8,Basic,Quarterly,732.92,8,0
400050,49,Male,7,5,0,0,Standard,Quarterly,882.73,22,0
400051,32,Female,21,28,2,13,Standard,Annual,713.37,11,0
400052,40,Male,9,24,0,17,Standard,Annual,845.03,1,0
400053,38,Female,29,3,2,1,Basic,Quarterly,582.08,13,0
400054,49,Male,3,12,1,5,Standard,Quarterly,989.98,30,0
400055,38,Male,36,8,2,14,Basic,Quarterly,982.99,13,0
400056,46,Male,25,6,0,10,Standard,Quarterly,529.95,23,0
400057,36,Male,5,28,3,2,Premium,Annual,653.13,29,0
400058,34,Male,58,3,3,18,Basic,Quarterly,596.53,4,0
400059,41,Female,51,1,2,6,Standard,Quarterly,547.2,11,0
400060,18,Male,34,29,0,7,Basic,Quarterly,532.69,9,0
400061,45,Male,35,10,4,13,Standard,Quarterly,527.32,7,0
400062,21,Female,43,7,2,19,Standard,Annual,990.91,7,0
400063,44,Male,17,30,1,16,Standard,Quarterly,720.28,10,0
400064,29,Male,31,15,0,18,Premium,Quarterly,971.24,17,0
400065,37,Female,15,25,3,15,Premium,Quarterly,692.24,1,0
400066,31,Male,33,29,0,0,Premium,Annual,690.75,22,0
400067,34,Female,9,8,3,15,Standard,Quarterly,925.12,11,0
400068,24,Male,57,15,0,19,Basic,Quarterly,926.87,16,0
400069,40,Female,58,30,1,7,Basic,Annual,788.91,8,0
400070,40,Male,40,30,2,20,Premium,Quarterly,620.46,2,0
400071,21,Female,34,8,1,20,Premium,Annual,689.16,10,0
400072,46,Male,50,5,4,19,Basic,Annual,971.41,4,0
400073,29,Male,10,14,2,14,Basic,Annual,592.44,29,0
400074,42,Male,9,1,4,1,Premium,Annual,590.01,7,0
400075,43,Male,26,27,2,4,Premium,Quarterly,577.73,11,0
400076,48,Female,54,22,4,7,Basic,Quarterly,779.47,12,0
400077,20,Male,30,1,0,1,Basic,Quarterly,583.9,24,0
400078,41,Male,6,9,4,3,Basic,Annual,759.23,19,0
400079,47,Female,38,22,4,11,Basic,Annual,990.76,12,0
400080,45,Male,44,21,3,5,Standard,Annual,617.31,11,0
400081,26,Male,24,29,1,7,Basic,Quarterly,562.8,13,0
400082,47,Female,26,22,3,12,Premium,Quarterly,508.44,10,0
400083,50,Male,59,9,2,17,Premium,Quarterly,784.57,22,0
400084,40,Male,15,10,4,10,Standard,Annual,720.71,30,0
